profile_id,serial_number,start_date,end_date,source_start_level,source_end_level,initial_fill_percent,end_fill_percent,delta_fill_percent,fill_rate_percent_per_hour
275,1510830,2019-08-31,2019-09-01,0,6,0,60,60,2.5
276,1510830,2019-09-02,2019-09-03,0,0,0,0,0,0
277,1510830,2019-09-03,2019-09-04,0,2,0,20,20,0.833333333333
278,1510830,2019-09-04,2019-09-05,2,8,20,80,60,2.5
279,1510830,2019-09-06,2019-09-07,0,0,0,0,0,0
280,1510830,2019-09-07,2019-09-08,0,4,0,40,40,1.66666666667
281,1510830,2019-09-08,2019-09-09,4,4,40,40,0,0
282,1510830,2019-09-09,2019-09-10,4,4,40,40,0,0
283,1510830,2019-09-10,2019-09-11,4,6,40,60,20,0.833333333333
284,1510830,2019-09-12,2019-09-13,0,0,0,0,0,0
285,1510830,2019-09-13,2019-09-14,0,6,0,60,60,2.5
286,1510830,2019-09-15,2019-09-16,0,0,0,0,0,0
287,1510830,2019-09-16,2019-09-17,0,0,0,0,0,0
288,1510830,2019-09-17,2019-09-18,0,0,0,0,0,0
289,1510830,2019-09-18,2019-09-19,0,6,0,60,60,2.5
290,1510830,2019-09-20,2019-09-21,0,6,0,60,60,2.5
291,1510830,2019-09-22,2019-09-23,0,2,0,20,20,0.833333333333
292,1510830,2019-09-23,2019-09-24,2,2,20,20,0,0
293,1510830,2019-09-24,2019-09-25,2,6,20,60,40,1.66666666667
294,1510830,2019-09-26,2019-09-27,0,4,0,40,40,1.66666666667
295,1510830,2019-09-27,2019-09-28,4,6,40,60,20,0.833333333333
296,1510830,2019-09-29,2019-09-30,0,0,0,0,0,0
297,1510830,2019-09-30,2019-10-01,0,0,0,0,0,0
298,1510830,2019-10-01,2019-10-02,0,0,0,0,0,0
299,1510830,2019-10-02,2019-10-03,0,2,0,20,20,0.833333333333
300,1510830,2019-10-03,2019-10-04,2,6,20,60,40,1.66666666667
301,1510830,2019-10-04,2019-10-05,6,6,60,60,0,0
302,1510830,2019-10-05,2019-10-06,6,6,60,60,0,0
303,1510830,2019-10-07,2019-10-08,0,0,0,0,0,0
304,1510830,2019-10-08,2019-10-09,0,4,0,40,40,1.66666666667
305,1510830,2019-10-09,2019-10-10,4,6,40,60,20,0.833333333333
306,1510830,2019-10-11,2019-10-12,0,2,0,20,20,0.833333333333
307,1510830,2019-10-12,2019-10-13,2,4,20,40,20,0.833333333333
308,1510830,2019-10-13,2019-10-14,4,4,40,40,0,0
309,1510830,2019-10-14,2019-10-15,4,6,40,60,20,0.833333333333
310,1510830,2019-10-16,2019-10-17,0,0,0,0,0,0
311,1510830,2019-10-17,2019-10-18,0,4,0,40,40,1.66666666667
312,1510830,2019-10-18,2019-10-19,4,6,40,60,20,0.833333333333
313,1510830,2019-10-20,2019-10-21,0,0,0,0,0,0
314,1510830,2019-10-21,2019-10-22,0,0,0,0,0,0
315,1510830,2019-10-22,2019-10-23,0,0,0,0,0,0
316,1510830,2019-10-23,2019-10-24,0,4,0,40,40,1.66666666667
317,1510830,2019-10-24,2019-10-25,4,8,40,80,40,1.66666666667
318,1510830,2019-10-26,2019-10-27,0,0,0,0,0,0
319,1510830,2019-10-27,2019-10-28,0,0,0,0,0,0
320,1510830,2019-10-28,2019-10-29,0,0,0,0,0,0
321,1510830,2019-10-29,2019-10-30,0,4,0,40,40,1.66666666667
322,1510830,2019-10-30,2019-10-31,4,8,40,80,40,1.66666666667
323,1510830,2019-11-01,2019-11-02,0,0,0,0,0,0
324,1510830,2019-11-02,2019-11-03,0,4,0,40,40,1.66666666667
325,1510830,2019-11-03,2019-11-04,4,6,40,60,20,0.833333333333
326,1510830,2019-11-05,2019-11-06,0,0,0,0,0,0
327,1510830,2019-11-06,2019-11-07,0,4,0,40,40,1.66666666667
328,1510830,2019-11-07,2019-11-08,4,6,40,60,20,0.833333333333
329,1510830,2019-11-09,2019-11-10,0,0,0,0,0,0
330,1510830,2019-11-10,2019-11-11,0,0,0,0,0,0
331,1510830,2019-11-11,2019-11-12,0,4,0,40,40,1.66666666667
332,1510830,2019-11-12,2019-11-13,4,6,40,60,20,0.833333333333
333,1510830,2019-11-14,2019-11-15,0,0,0,0,0,0
334,1510830,2019-11-15,2019-11-16,0,6,0,60,60,2.5
335,1510830,2019-11-17,2019-11-18,0,0,0,0,0,0
336,1510830,2019-11-18,2019-11-19,0,0,0,0,0,0
337,1510830,2019-11-19,2019-11-20,0,4,0,40,40,1.66666666667
338,1510830,2019-11-20,2019-11-21,4,6,40,60,20,0.833333333333
339,1510830,2019-11-22,2019-11-23,0,6,0,60,60,2.5
340,1510830,2019-11-24,2019-11-25,0,0,0,0,0,0
341,1510830,2019-11-25,2019-11-26,0,4,0,40,40,1.66666666667
342,1510830,2019-11-26,2019-11-27,4,4,40,40,0,0
343,1510830,2019-11-27,2019-11-28,4,4,40,40,0,0
344,1510830,2019-11-28,2019-11-29,4,6,40,60,20,0.833333333333
345,1510830,2019-11-30,2019-12-01,0,2,0,20,20,0.833333333333
346,1510830,2019-12-01,2019-12-02,2,4,20,40,20,0.833333333333
347,1510830,2019-12-02,2019-12-03,4,4,40,40,0,0
348,1510830,2019-12-03,2019-12-04,4,8,40,80,40,1.66666666667
349,1510830,2019-12-05,2019-12-06,0,8,0,80,80,3.33333333333
350,1510830,2019-12-07,2019-12-08,0,0,0,0,0,0
351,1510830,2019-12-08,2019-12-09,0,0,0,0,0,0
352,1510830,2019-12-09,2019-12-10,0,0,0,0,0,0
353,1510830,2019-12-10,2019-12-11,0,0,0,0,0,0
354,1510830,2019-12-11,2019-12-12,0,4,0,40,40,1.66666666667
355,1510830,2019-12-12,2019-12-13,4,6,40,60,20,0.833333333333
356,1510830,2019-12-14,2019-12-15,0,0,0,0,0,0
357,1510830,2019-12-15,2019-12-16,0,6,0,60,60,2.5
358,1510830,2019-12-17,2019-12-18,0,0,0,0,0,0
359,1510830,2019-12-18,2019-12-19,0,4,0,40,40,1.66666666667
360,1510830,2019-12-19,2019-12-20,4,8,40,80,40,1.66666666667
361,1510830,2019-12-21,2019-12-22,0,0,0,0,0,0
362,1510830,2019-12-22,2019-12-23,0,2,0,20,20,0.833333333333
